data,blur,noise,mode,c,method,iteration,oracle,network_forward,backtracks,mean_rel_primal_error,panel
real,train,train,bv,0.5,plain-FBHF,28,112,0,0,0.03620637580752373,a
real,train,train,bv,0.5,plain-FBHF,29,116,0,0,0.03554264456033707,a
real,train,train,bv,0.5,plain-FBHF,30,120,0,0,0.03490474820137024,a
real,train,train,bv,0.5,plain-FBHF,31,124,0,0,0.0342903807759285,a
real,train,train,bv,0.5,plain-FBHF,32,128,0,0,0.03369688242673874,a
real,train,train,bv,0.5,plain-FBHF,33,132,0,0,0.03312210738658905,a
real,train,train,bv,0.5,plain-FBHF,34,136,0,0,0.032565031200647354,a
real,train,train,bv,0.5,plain-FBHF,35,140,0,0,0.032025713473558426,a
real,train,train,bv,0.5,plain-FBHF,36,144,0,0,0.03150461986660957,a
real,train,train,bv,0.5,plain-FBHF,37,148,0,0,0.031001901254057884,a
real,train,train,bv,0.5,plain-FBHF,38,152,0,0,0.03051690012216568,a
real,train,train,bv,0.5,plain-FBHF,39,156,0,0,0.03004821017384529,a
real,train,train,bv,0.5,plain-FBHF,40,160,0,0,0.029594119638204575,a
real,train,train,bv,0.5,plain-FBHF,41,164,0,0,0.029153158888220787,a
real,train,train,bv,0.5,plain-FBHF,42,168,0,0,0.028724314644932747,a
real,train,train,bv,0.5,plain-FBHF,43,172,0,0,0.02830704115331173,a
real,train,train,bv,0.5,plain-FBHF,44,176,0,0,0.02790110744535923,a
real,train,train,bv,0.5,plain-FBHF,45,180,0,0,0.027506325393915176,a
real,train,train,bv,0.5,plain-FBHF,46,184,0,0,0.027122367173433304,a
real,train,train,bv,0.5,plain-FBHF,47,188,0,0,0.02674870565533638,a
real,train,train,bv,0.5,plain-FBHF,48,192,0,0,0.026384644210338593,a
real,train,train,bv,0.5,plain-FBHF,49,196,0,0,0.026029471307992935,a
real,train,train,bv,0.5,plain-FBHF,50,200,0,0,0.025682564824819565,a
real,train,train,bv,0.5,plain-FBHF,51,204,0,0,0.02534349262714386,a
real,train,train,bv,0.5,plain-FBHF,52,208,0,0,0.02501198649406433,a
real,train,train,bv,0.5,plain-FBHF,53,212,0,0,0.024687860161066055,a
real,train,train,bv,0.5,plain-FBHF,54,216,0,0,0.02437092736363411,a
real,train,train,bv,0.5,plain-FBHF,55,220,0,0,0.024060972034931183,a
real,train,train,bv,0.5,plain-FBHF,56,224,0,0,0.023757752031087875,a
real,train,train,bv,0.5,plain-FBHF,57,228,0,0,0.023461010307073593,a
real,train,train,bv,0.5,plain-FBHF,58,232,0,0,0.023170487955212593,a
real,train,train,bv,0.5,plain-FBHF,59,236,0,0,0.022885974496603012,a
real,train,train,bv,0.5,plain-FBHF,60,240,0,0,0.022607266902923584,a
real,train,train,bv,0.5,plain-FBHF,61,244,0,0,0.022334173321723938,a
real,train,train,bv,0.5,plain-FBHF,62,248,0,0,0.022066503763198853,a
real,train,train,bv,0.5,plain-FBHF,63,252,0,0,0.02180406264960766,a
real,train,train,bv,0.5,plain-FBHF,64,256,0,0,0.02154666930437088,a
real,train,train,bv,0.5,plain-FBHF,65,260,0,0,0.02129417285323143,a
real,train,train,bv,0.5,plain-FBHF,66,264,0,0,0.021046441048383713,a
real,train,train,bv,0.5,plain-FBHF,67,268,0,0,0.020803378894925117,a
real,train,train,bv,0.5,plain-FBHF,68,272,0,0,0.020564891397953033,a
real,train,train,bv,0.5,plain-FBHF,69,276,0,0,0.02033090591430664,a
real,train,train,bv,0.5,plain-FBHF,70,280,0,0,0.020101334899663925,a
real,train,train,bv,0.5,plain-FBHF,71,284,0,0,0.019876088947057724,a
real,train,train,bv,0.5,plain-FBHF,72,288,0,0,0.01965506188571453,a
real,train,train,bv,0.5,plain-FBHF,73,292,0,0,0.019438162446022034,a
real,train,train,bv,0.5,plain-FBHF,74,296,0,0,0.019225306808948517,a
real,train,train,bv,0.5,plain-FBHF,75,300,0,0,0.019016414880752563,a
real,train,train,bv,0.5,plain-FBHF,76,304,0,0,0.018811408430337906,a
real,train,train,bv,0.5,plain-FBHF,77,308,0,0,0.018610214814543724,a
real,train,train,bv,0.5,plain-FBHF,78,312,0,0,0.018412750214338303,a
real,train,train,bv,0.5,plain-FBHF,79,316,0,0,0.01821891963481903,a
real,train,train,bv,0.5,plain-FBHF,80,320,0,0,0.018028615042567253,a
real,train,train,bv,0.5,plain-FBHF,81,324,0,0,0.017841730266809464,a
real,train,train,bv,0.5,plain-FBHF,82,328,0,0,0.017658162862062454,a
real,train,train,bv,0.5,plain-FBHF,83,332,0,0,0.01747780479490757,a
real,train,train,bv,0.5,plain-FBHF,84,336,0,0,0.017300572246313095,a
real,train,train,bv,0.5,plain-FBHF,85,340,0,0,0.017126373946666718,a
real,train,train,bv,0.5,plain-FBHF,86,344,0,0,0.016955122351646423,a
real,train,train,bv,0.5,plain-FBHF,87,348,0,0,0.01678672432899475,a
real,train,train,bv,0.5,plain-FBHF,88,352,0,0,0.016621088609099388,a
real,train,train,bv,0.5,plain-FBHF,89,356,0,0,0.01645812951028347,a
real,train,train,bv,0.5,plain-FBHF,90,360,0,0,0.01629776693880558,a
real,train,train,bv,0.5,plain-FBHF,91,364,0,0,0.0161399245262146,a
real,train,train,bv,0.5,plain-FBHF,92,368,0,0,0.015984538942575455,a
real,train,train,bv,0.5,plain-FBHF,93,372,0,0,0.01583155244588852,a
real,train,train,bv,0.5,plain-FBHF,94,376,0,0,0.015680916607379913,a
real,train,train,bv,0.5,plain-FBHF,95,380,0,0,0.01553256530314684,a
real,train,train,bv,0.5,plain-FBHF,96,384,0,0,0.015386449173092842,a
real,train,train,bv,0.5,plain-FBHF,97,388,0,0,0.015242503024637699,a
real,train,train,bv,0.5,plain-FBHF,98,392,0,0,0.015100663527846336,a
real,train,train,bv,0.5,plain-FBHF,99,396,0,0,0.014960873872041702,a
real,train,train,bv,0.5,plain-FBHF,100,400,0,0,0.01482307631522417,a
real,train,train,bv,0.5,plain-FBHF,101,404,0,0,0.014687228947877884,a
real,train,train,bv,0.5,plain-FBHF,102,408,0,0,0.014553304761648178,a
real,train,train,bv,0.5,plain-FBHF,103,412,0,0,0.014421273022890091,a
real,train,train,bv,0.5,plain-FBHF,104,416,0,0,0.014291110448539257,a
real,train,train,bv,0.5,plain-FBHF,105,420,0,0,0.014162790030241013,a
real,train,train,bv,0.5,plain-FBHF,106,424,0,0,0.014036284759640694,a
real,train,train,bv,0.5,plain-FBHF,107,428,0,0,0.013911562040448189,a
real,train,train,bv,0.5,plain-FBHF,108,432,0,0,0.013788594864308834,a
real,train,train,bv,0.5,plain-FBHF,109,436,0,0,0.013667347840964794,a
real,train,train,bv,0.5,plain-FBHF,110,440,0,0,0.013547788374125957,a
real,train,train,bv,0.5,plain-FBHF,111,444,0,0,0.013429882004857063,a
real,train,train,bv,0.5,plain-FBHF,112,448,0,0,0.013313592411577702,a
real,train,train,bv,0.5,plain-FBHF,113,452,0,0,0.013198886066675186,a
real,train,train,bv,0.5,plain-FBHF,114,456,0,0,0.013085726648569107,a
real,train,train,bv,0.5,plain-FBHF,115,460,0,0,0.012974081560969353,a
real,train,train,bv,0.5,plain-FBHF,116,464,0,0,0.012863922864198685,a
real,train,train,bv,0.5,plain-FBHF,117,468,0,0,0.012755216099321842,a
real,train,train,bv,0.5,plain-FBHF,118,472,0,0,0.01264793612062931,a
real,train,train,bv,0.5,plain-FBHF,119,476,0,0,0.012542054988443851,a
real,train,train,bv,0.5,plain-FBHF,120,480,0,0,0.01243754755705595,a
real,train,train,bv,0.5,plain-FBHF,121,484,0,0,0.012334391474723816,a
real,train,train,bv,0.5,plain-FBHF,122,488,0,0,0.012232566252350807,a
real,train,train,bv,0.5,plain-FBHF,123,492,0,0,0.012132049538195133,a
real,train,train,bv,0.5,plain-FBHF,124,496,0,0,0.012032825499773026,a
real,train,train,bv,0.5,plain-FBHF,125,500,0,0,0.011934872716665268,a
real,train,train,bv,0.5,plain-FBHF,126,504,0,0,0.011838173493742943,a
real,train,train,bv,0.5,plain-FBHF,127,508,0,0,0.011742709204554558,a
real,train,train,bv,0.5,plain-FBHF,128,512,0,0,0.011648458428680897,a
real,train,train,bv,0.5,plain-FBHF,129,516,0,0,0.011555397883057594,a
real,train,train,bv,0.5,plain-FBHF,130,520,0,0,0.011463506147265434,a
real,train,train,bv,0.5,plain-FBHF,131,524,0,0,0.011372757144272327,a
real,train,train,bv,0.5,plain-FBHF,132,528,0,0,0.011283131316304207,a
real,train,train,bv,0.5,plain-FBHF,133,532,0,0,0.011194607242941856,a
real,train,train,bv,0.5,plain-FBHF,134,536,0,0,0.011107164435088634,a
real,train,train,bv,0.5,plain-FBHF,135,540,0,0,0.011020783334970474,a
real,train,train,bv,0.5,plain-FBHF,136,544,0,0,0.010935448110103607,a
real,train,train,bv,0.5,plain-FBHF,137,548,0,0,0.010851138271391392,a
real,train,train,bv,0.5,plain-FBHF,138,552,0,0,0.010767839848995209,a
real,train,train,bv,0.5,plain-FBHF,139,556,0,0,0.010685534216463566,a
real,train,train,bv,0.5,plain-FBHF,140,560,0,0,0.010604208335280418,a
real,train,train,bv,0.5,plain-FBHF,141,564,0,0,0.010523846372961998,a
real,train,train,bv,0.5,plain-FBHF,142,568,0,0,0.010444432497024536,a
real,train,train,bv,0.5,plain-FBHF,143,572,0,0,0.010365950874984264,a
real,train,train,bv,0.5,plain-FBHF,144,576,0,0,0.010288387537002563,a
real,train,train,bv,0.5,plain-FBHF,145,580,0,0,0.010211731307208538,a
real,train,train,bv,0.5,plain-FBHF,146,584,0,0,0.010135972872376442,a
real,train,train,bv,0.5,plain-FBHF,147,588,0,0,0.010061098262667656,a
real,train,train,bv,0.5,plain-FBHF,148,592,0,0,0.00998709537088871,a
real,train,train,bv,0.5,plain-FBHF,149,596,0,0,0.009913953021168709,a
real,train,train,bv,0.5,plain-FBHF,150,600,0,0,0.009841658174991608,a
real,train,train,bv,0.5,plain-FBHF,151,604,0,0,0.009770196862518787,a
real,train,train,bv,0.5,plain-FBHF,152,608,0,0,0.009699555113911629,a
real,train,train,bv,0.5,plain-FBHF,153,612,0,0,0.009629717096686363,a
real,train,train,bv,0.5,plain-FBHF,154,616,0,0,0.009560673497617245,a
real,train,train,bv,0.5,plain-FBHF,155,620,0,0,0.009492404758930206,a
real,train,train,bv,0.5,plain-FBHF,156,624,0,0,0.009424900636076927,a
real,train,train,bv,0.5,plain-FBHF,157,628,0,0,0.009358146227896214,a
real,train,train,bv,0.5,plain-FBHF,158,632,0,0,0.009292135015130043,a
real,train,train,bv,0.5,plain-FBHF,159,636,0,0,0.009226853959262371,a
real,train,train,bv,0.5,plain-FBHF,160,640,0,0,0.0091622956097126,a
real,train,train,bv,0.5,plain-FBHF,161,644,0,0,0.00909845158457756,a
real,train,train,bv,0.5,plain-FBHF,162,648,0,0,0.00903531163930893,a
real,train,train,bv,0.5,plain-FBHF,163,652,0,0,0.008972869254648685,a
real,train,train,bv,0.5,plain-FBHF,164,656,0,0,0.008911114186048508,a
real,train,train,bv,0.5,plain-FBHF,165,660,0,0,0.008850038051605225,a
real,train,train,bv,0.5,plain-FBHF,166,664,0,0,0.008789628744125366,a
real,train,train,bv,0.5,plain-FBHF,167,668,0,0,0.008729876950383186,a
real,train,train,bv,0.5,plain-FBHF,168,672,0,0,0.00867076963186264,a
real,train,train,bv,0.5,plain-FBHF,169,676,0,0,0.008612299337983131,a
real,train,train,bv,0.5,plain-FBHF,170,680,0,0,0.008554450236260891,a
real,train,train,bv,0.5,plain-FBHF,171,684,0,0,0.008497213944792747,a
real,train,train,bv,0.5,plain-FBHF,172,688,0,0,0.00844058021903038,a
real,train,train,bv,0.5,plain-FBHF,173,692,0,0,0.008384537883102894,a
real,train,train,bv,0.5,plain-FBHF,174,696,0,0,0.008329077623784542,a
real,train,train,bv,0.5,plain-FBHF,175,700,0,0,0.008274191990494728,a
real,train,train,bv,0.5,plain-FBHF,176,704,0,0,0.00821987446397543,a
real,train,train,bv,0.5,plain-FBHF,177,708,0,0,0.00816611759364605,a
real,train,train,bv,0.5,plain-FBHF,178,712,0,0,0.008112914860248566,a
real,train,train,bv,0.5,plain-FBHF,179,716,0,0,0.008060258813202381,a
real,train,train,bv,0.5,plain-FBHF,180,720,0,0,0.008008141070604324,a
real,train,train,bv,0.5,plain-FBHF,181,724,0,0,0.007956555113196373,a
real,train,train,bv,0.5,plain-FBHF,182,728,0,0,0.007905492559075356,a
real,train,train,bv,0.5,plain-FBHF,183,732,0,0,0.00785494688898325,a
real,train,train,bv,0.5,plain-FBHF,184,736,0,0,0.0078049106523394585,a
real,train,train,bv,0.5,plain-FBHF,185,740,0,0,0.00775537546724081,a
real,train,train,bv,0.5,plain-FBHF,186,744,0,0,0.0077063352800905704,a
real,train,train,bv,0.5,plain-FBHF,187,748,0,0,0.007657782174646854,a
real,train,train,bv,0.5,plain-FBHF,188,752,0,0,0.007609711028635502,a
real,train,train,bv,0.5,plain-FBHF,189,756,0,0,0.007562113925814629,a
real,train,train,bv,0.5,plain-FBHF,190,760,0,0,0.0075149848125875,a
real,train,train,bv,0.5,plain-FBHF,191,764,0,0,0.00746831763535738,a
real,train,train,bv,0.5,plain-FBHF,192,768,0,0,0.0074221063405275345,a
real,train,train,bv,0.5,plain-FBHF,193,772,0,0,0.007376343943178654,a
real,train,train,bv,0.5,plain-FBHF,194,776,0,0,0.007331023924052715,a
real,train,train,bv,0.5,plain-FBHF,195,780,0,0,0.007286141160875559,a
real,train,train,bv,0.5,plain-FBHF,196,784,0,0,0.007241690065711737,a
real,train,train,bv,0.5,plain-FBHF,197,788,0,0,0.007197667844593525,a
real,train,train,bv,0.5,plain-FBHF,198,792,0,0,0.007154067978262901,a
real,train,train,bv,0.5,plain-FBHF,199,796,0,0,0.007110888138413429,a
real,train,train,bv,0.5,plain-FBHF,200,800,0,0,0.007068122737109661,a
real,train,train,bv,0.5,plain-FBHF,201,804,0,0,0.007025766186416149,a
real,train,train,bv,0.5,plain-FBHF,202,808,0,0,0.006983815226703882,a
real,train,train,bv,0.5,plain-FBHF,203,812,0,0,0.0069422647356987,a
real,train,train,bv,0.5,plain-FBHF,204,816,0,0,0.006901110522449017,a
real,train,train,bv,0.5,plain-FBHF,205,820,0,0,0.0068603456020355225,a
real,train,train,bv,0.5,plain-FBHF,206,824,0,0,0.006819966249167919,a
real,train,train,bv,0.5,plain-FBHF,207,828,0,0,0.006779968738555908,a
real,train,train,bv,0.5,plain-FBHF,208,832,0,0,0.0067403484135866165,a
real,train,train,bv,0.5,plain-FBHF,209,836,0,0,0.006701101548969746,a
real,train,train,bv,0.5,plain-FBHF,210,840,0,0,0.006662224885076284,a
real,train,train,bv,0.5,plain-FBHF,211,844,0,0,0.0066237132996320724,a
real,train,train,bv,0.5,plain-FBHF,212,848,0,0,0.006585563533008099,a
real,train,train,bv,0.5,plain-FBHF,213,852,0,0,0.00654777092859149,a
real,train,train,bv,0.5,plain-FBHF,214,856,0,0,0.006510330364108086,a
real,train,train,bv,0.5,plain-FBHF,215,860,0,0,0.006473239045590162,a
real,train,train,bv,0.5,plain-FBHF,216,864,0,0,0.006436493247747421,a
real,train,train,bv,0.5,plain-FBHF,217,868,0,0,0.006400088779628277,a
real,train,train,bv,0.5,plain-FBHF,218,872,0,0,0.006364021450281143,a
real,train,train,bv,0.5,plain-FBHF,219,876,0,0,0.006328288000077009,a
real,train,train,bv,0.5,plain-FBHF,220,880,0,0,0.006292884238064289,a
real,train,train,bv,0.5,plain-FBHF,221,884,0,0,0.006257806904613972,a
real,train,train,bv,0.5,plain-FBHF,222,888,0,0,0.0062230490148067474,a
real,train,train,bv,0.5,plain-FBHF,223,892,0,0,0.006188608705997467,a
real,train,train,bv,0.5,plain-FBHF,224,896,0,0,0.006154480390250683,a
real,train,train,bv,0.5,plain-FBHF,225,900,0,0,0.006120659876614809,a
real,train,train,bv,0.5,plain-FBHF,226,904,0,0,0.00608714297413826,a
real,train,train,bv,0.5,plain-FBHF,227,908,0,0,0.006053926423192024,a
real,train,train,bv,0.5,plain-FBHF,228,912,0,0,0.006021005101501942,a
real,train,train,bv,0.5,plain-FBHF,229,916,0,0,0.005988375749439001,a
real,train,train,bv,0.5,plain-FBHF,230,920,0,0,0.005956035107374191,a
real,train,train,bv,0.5,plain-FBHF,231,924,0,0,0.005923979915678501,a
real,train,train,bv,0.5,plain-FBHF,232,928,0,0,0.005892205983400345,a
real,train,train,bv,0.5,plain-FBHF,233,932,0,0,0.005860710516571999,a
real,train,train,bv,0.5,plain-FBHF,234,936,0,0,0.005829491186887026,a
real,train,train,bv,0.5,plain-FBHF,235,940,0,0,0.005798544734716415,a
real,train,train,bv,0.5,plain-FBHF,236,944,0,0,0.005767867900431156,a
real,train,train,bv,0.5,plain-FBHF,237,948,0,0,0.005737458821386099,a
real,train,train,bv,0.5,plain-FBHF,238,952,0,0,0.005707314237952232,a
real,train,train,bv,0.5,plain-FBHF,239,956,0,0,0.005677429493516684,a
real,train,train,bv,0.5,plain-FBHF,240,960,0,0,0.005647802725434303,a
real,train,train,bv,0.5,plain-FBHF,241,964,0,0,0.00561843067407608,a
real,train,train,bv,0.5,plain-FBHF,242,968,0,0,0.005589309148490429,a
real,train,train,bv,0.5,plain-FBHF,243,972,0,0,0.0055604362860322,a
real,train,train,bv,0.5,plain-FBHF,244,976,0,0,0.005531809292733669,a
real,train,train,bv,0.5,plain-FBHF,245,980,0,0,0.005503426771610975,a
real,train,train,bv,0.5,plain-FBHF,246,984,0,0,0.005475284997373819,a
real,train,train,bv,0.5,plain-FBHF,247,988,0,0,0.00544738257303834,a
real,train,train,bv,0.5,plain-FBHF,248,992,0,0,0.005419716238975525,a
real,train,train,bv,0.5,plain-FBHF,249,996,0,0,0.005392284598201513,a
real,train,train,bv,0.5,plain-FBHF,250,1000,0,0,0.0053650857880711555,a
real,train,train,bv,0.5,plain-FBHF,251,1004,0,0,0.005338116083294153,a
real,train,train,bv,0.5,plain-FBHF,252,1008,0,0,0.005311375018209219,a
real,train,train,bv,0.5,plain-FBHF,253,1012,0,0,0.005284858867526054,a
real,train,train,bv,0.5,plain-FBHF,254,1016,0,0,0.00525856576859951,a
real,train,train,bv,0.5,plain-FBHF,255,1020,0,0,0.00523249339312315,a
real,train,train,bv,0.5,plain-FBHF,256,1024,0,0,0.005206638015806675,a
real,train,train,bv,0.5,plain-FBHF,257,1028,0,0,0.005180998705327511,a
real,train,train,bv,0.5,plain-FBHF,258,1032,0,0,0.005155572202056646,a
real,train,train,bv,0.5,plain-FBHF,259,1036,0,0,0.005130355712026358,a
real,train,train,bv,0.5,plain-FBHF,260,1040,0,0,0.005105346441268921,a
real,train,train,bv,0.5,plain-FBHF,261,1044,0,0,0.005080540664494038,a
real,train,train,bv,0.5,plain-FBHF,262,1048,0,0,0.0050559379160404205,a
real,train,train,bv,0.5,plain-FBHF,263,1052,0,0,0.0050315349362790585,a
real,train,train,bv,0.5,plain-FBHF,264,1056,0,0,0.005007329862564802,a
real,train,train,bv,0.5,plain-FBHF,265,1060,0,0,0.0049833208322525024,a
real,train,train,bv,0.5,plain-FBHF,266,1064,0,0,0.00495950598269701,a
real,train,train,bv,0.5,plain-FBHF,267,1068,0,0,0.004935881122946739,a
real,train,train,bv,0.5,plain-FBHF,268,1072,0,0,0.004912443924695253,a
real,train,train,bv,0.5,plain-FBHF,269,1076,0,0,0.004889192990958691,a
real,train,train,bv,0.5,plain-FBHF,270,1080,0,0,0.004866126459091902,a
real,train,train,bv,0.5,plain-FBHF,271,1084,0,0,0.004843242932111025,a
real,train,train,bv,0.5,plain-FBHF,272,1088,0,0,0.004820540547370911,a
real,train,train,bv,0.5,plain-FBHF,273,1092,0,0,0.00479801744222641,a
real,train,train,bv,0.5,plain-FBHF,274,1096,0,0,0.004775672685354948,a
real,train,train,bv,0.5,plain-FBHF,275,1100,0,0,0.004753503482788801,a
real,train,train,bv,0.5,plain-FBHF,276,1104,0,0,0.004731509834527969,a
real,train,train,bv,0.5,plain-FBHF,277,1108,0,0,0.004709688946604729,a
real,train,train,bv,0.5,plain-FBHF,278,1112,0,0,0.004688040353357792,a
real,train,train,bv,0.5,plain-FBHF,279,1116,0,0,0.004666561260819435,a
real,train,train,bv,0.5,plain-FBHF,280,1120,0,0,0.004645250272005796,a
real,train,train,bv,0.5,plain-FBHF,281,1124,0,0,0.004624105058610439,a
real,train,train,bv,0.5,plain-FBHF,282,1128,0,0,0.004603125154972076,a
real,train,train,bv,0.5,plain-FBHF,283,1132,0,0,0.004582308232784271,a
real,train,train,bv,0.5,plain-FBHF,284,1136,0,0,0.004561652895063162,a
real,train,train,bv,0.5,plain-FBHF,285,1140,0,0,0.004541156813502312,a
real,train,train,bv,0.5,plain-FBHF,286,1144,0,0,0.004520819056779146,a
real,train,train,bv,0.5,plain-FBHF,287,1148,0,0,0.004500637762248516,a
real,train,train,bv,0.5,plain-FBHF,288,1152,0,0,0.004480611067265272,a
real,train,train,bv,0.5,plain-FBHF,289,1156,0,0,0.004460737109184265,a
real,train,train,bv,0.5,plain-FBHF,290,1160,0,0,0.004441014491021633,a
real,train,train,bv,0.5,plain-FBHF,291,1164,0,0,0.00442144088447094,a
real,train,train,bv,0.5,plain-FBHF,292,1168,0,0,0.004402015823870897,a
real,train,train,bv,0.5,plain-FBHF,293,1172,0,0,0.00438273698091507,a
real,train,train,bv,0.5,plain-FBHF,294,1176,0,0,0.00436360202729702,a
real,train,train,bv,0.5,plain-FBHF,295,1180,0,0,0.004344610963016748,a
real,train,train,bv,0.5,plain-FBHF,296,1184,0,0,0.004325760994106531,a
real,train,train,bv,0.5,plain-FBHF,297,1188,0,0,0.0043070511892437935,a
real,train,train,bv,0.5,plain-FBHF,298,1192,0,0,0.004288480617105961,a
real,train,train,bv,0.5,plain-FBHF,299,1196,0,0,0.004270047415047884,a
real,train,train,bv,0.5,plain-FBHF,300,1200,0,0,0.004251748789101839,a
real,train,train,bv,0.5,plain-FBHF,301,1204,0,0,0.004233584739267826,a
real,train,train,bv,0.5,plain-FBHF,302,1208,0,0,0.004215553402900696,a
real,train,train,bv,0.5,plain-FBHF,303,1212,0,0,0.004197654780000448,a
real,train,train,bv,0.5,plain-FBHF,304,1216,0,0,0.004179885610938072,a
real,train,train,bv,0.5,plain-FBHF,305,1220,0,0,0.004162245895713568,a
real,train,train,bv,0.5,plain-FBHF,306,1224,0,0,0.004144733771681786,a
real,train,train,bv,0.5,plain-FBHF,307,1228,0,0,0.004127348307520151,a
real,train,train,bv,0.5,plain-FBHF,308,1232,0,0,0.004110087640583515,a
real,train,train,bv,0.5,plain-FBHF,309,1236,0,0,0.0040929499082267284,a
real,train,train,bv,0.5,plain-FBHF,310,1240,0,0,0.004075933713465929,a
real,train,train,bv,0.5,plain-FBHF,311,1244,0,0,0.004059038124978542,a
real,train,train,bv,0.5,plain-FBHF,312,1248,0,0,0.004042261280119419,a
real,train,train,bv,0.5,plain-FBHF,313,1252,0,0,0.004025603644549847,a
real,train,train,bv,0.5,plain-FBHF,314,1256,0,0,0.0040090614929795265,a
real,train,train,bv,0.5,plain-FBHF,315,1260,0,0,0.003992635291069746,a
real,train,train,bv,0.5,plain-FBHF,316,1264,0,0,0.003976323641836643,a
real,train,train,bv,0.5,plain-FBHF,317,1268,0,0,0.0039601256139576435,a
real,train,train,bv,0.5,plain-FBHF,318,1272,0,0,0.003944038413465023,a
real,train,train,bv,0.5,plain-FBHF,319,1276,0,0,0.003928061109036207,a
real,train,train,bv,0.5,plain-FBHF,320,1280,0,0,0.003912191838026047,a
real,train,train,bv,0.5,plain-FBHF,321,1284,0,0,0.003896431066095829,a
real,train,train,bv,0.5,plain-FBHF,322,1288,0,0,0.0038807764649391174,a
real,train,train,bv,0.5,plain-FBHF,323,1292,0,0,0.0038652271032333374,a
real,train,train,bv,0.5,plain-FBHF,324,1296,0,0,0.0038497825153172016,a
real,train,train,bv,0.5,plain-FBHF,325,1300,0,0,0.0038344417698681355,a
real,train,train,bv,0.5,plain-FBHF,326,1304,0,0,0.0038192046340554953,a
real,train,train,bv,0.5,plain-FBHF,327,1308,0,0,0.0038040699437260628,a
real,train,train,bv,0.5,plain-FBHF,328,1312,0,0,0.0037890365347266197,a
real,train,train,bv,0.5,plain-FBHF,329,1316,0,0,0.0037741041742265224,a
real,train,train,bv,0.5,plain-FBHF,330,1320,0,0,0.003759270766749978,a
real,train,train,bv,0.5,plain-FBHF,331,1324,0,0,0.0037445356138050556,a
real,train,train,bv,0.5,plain-FBHF,332,1328,0,0,0.003729897551238537,a
real,train,train,bv,0.5,plain-FBHF,333,1332,0,0,0.0037153558805584908,a
real,train,train,bv,0.5,plain-FBHF,334,1336,0,0,0.0037009096704423428,a
real,train,train,bv,0.5,plain-FBHF,335,1340,0,0,0.0036865579895675182,a
real,train,train,bv,0.5,plain-FBHF,336,1344,0,0,0.0036723001394420862,a
real,train,train,bv,0.5,plain-FBHF,337,1348,0,0,0.0036581361200660467,a
real,train,train,bv,0.5,plain-FBHF,338,1352,0,0,0.003644064534455538,a
real,train,train,bv,0.5,plain-FBHF,339,1356,0,0,0.0036300853826105595,a
real,train,train,bv,0.5,plain-FBHF,340,1360,0,0,0.0036161975003778934,a
real,train,train,bv,0.5,plain-FBHF,341,1364,0,0,0.0036023990251123905,a
real,train,train,bv,0.5,plain-FBHF,342,1368,0,0,0.0035886894911527634,a
real,train,train,bv,0.5,plain-FBHF,343,1372,0,0,0.00357506750151515,a
real,train,train,bv,0.5,plain-FBHF,344,1376,0,0,0.003561532124876976,a
